london.x        London
MATLAB          Matlab
oceanM          ROMS
adf.exe         ADF
wrf.exe         WRF
issm.exe        ISSM
std             VASP
vasp            VASP
ccsm.exe        CCSM
gpaw-python     GPAW
lsdalton.x      LSDalton
dalton.x        Dalton
java            "Java script"
g16nbo.i8.exe   NBO
hfst_tokenize   HFST
mrchem.x        MRChem
fvcom.bin       FVCOM
iSALE2D         iSALE2D
qdyn5p          Qdyn
Qdyn5p          Qdyn
namd2           NAMD
fiber           fiber
orca_scf_mpi    Orca
