london.x          London
MATLAB            Matlab
oceanM            ROMS
adf.exe           ADF
wrf.exe           WRF
issm.exe          ISSM
std               VASP
vasp              VASP
ccsm.exe          CCSM
gpaw-python       GPAW
lsdalton.x        LSDalton
dalton.x          Dalton
java              "Java script"
g16nbo.i8.exe     NBO
hfst_tokenize     HFST
mrchem.x          MRChem
fvcom.bin         FVCOM
iSALE2D           iSALE2D
qdyn5p            Qdyn
Qdyn5p            Qdyn
namd2             NAMD
fiber             fiber
mdrun_mpi         GROMACS
gmx_mpi           GROMACS
stagyympi         StagYY
lmp_mpi           LAMMPS
paradis           ParaDiS
ricc2_omp         TURBOMOLE
ridft             TURBOMOLE
norwecom.e2e.rh   NORWECOM.E2E
texas             TEXAS
