v=0.13.200,time=2025-03-01T01:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.1,cpukib=60033196,rssanonkib=59005152,cputime_sec=322216
v=0.13.200,time=2025-03-01T01:00:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482033
v=0.13.200,time=2025-03-01T01:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482033
v=0.13.200,time=2025-03-01T01:05:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1494.9,cpukib=57722284,rssanonkib=56609100,cputime_sec=326857
v=0.13.200,time=2025-03-01T01:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1495.5,cpukib=57246508,rssanonkib=56137928,cputime_sec=331477
v=0.13.200,time=2025-03-01T01:10:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1496.6,cpukib=98367164,rssanonkib=84239660,cputime_sec=336219
v=0.13.200,time=2025-03-01T01:15:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1496.9,cpukib=55615292,rssanonkib=54646396,cputime_sec=340778
v=0.13.200,time=2025-03-01T01:20:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482034
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
v=0.13.200,time=2025-03-01T01:25:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1497,cpukib=62344972,rssanonkib=62135784,cputime_sec=345290
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2702872,ppid=2634937,cpu%=1498.2,cpukib=71180812,rssanonkib=69906768,cputime_sec=350052
v=0.13.200,time=2025-03-01T01:30:01+01:00,host=c1-7.fox,user=ec-aad,cmd=java,job=1354233,pid=2634937,ppid=2634918,cpu%=0.1,cpukib=1652000,rssanonkib=1141776,cputime_sec=482035
